"DATE","AVEMAX"
19270701,120
19351001,176
19351201,58
19360401,193
19360501,223
19360601,261
19360901,233
19361101,104
19370101,-16
19370201,138
19370701,295
19380101,49
19380701,283
19400601,281
19400701,304
19401001,182
19401101,60
19401201,52
19410101,39
19410201,73
19410301,105
19410401,124
19410501,206
19410601,235
19410701,286
19410801,266
19410901,210
19411001,137
19411101,93
19411201,57
19420101,16
19420201,11
19420301,66
19420401,154
19420501,175
19420601,236
19420701,301
19420801,286
19420901,239
19421001,169
19421101,102
19421201,40
19430101,38
19430201,64
19430301,97
19430401,204
19430501,200
19430601,233
19430701,301
19430801,296
19430901,271
19431001,191
19431101,103
19431201,49
19440101,12
19440201,41
19440301,66
19440401,129
19440501,207
19440601,188
19440701,285
19440801,308
19440901,256
19441001,190
19441101,58
19441201,49
19450101,54
19450201,59
19450301,91
19450401,126
19450501,214
19450601,211
19450701,298
19450801,283
19450901,235
19451001,195
19451101,78
19451201,33
19460101,33
19460201,64
19460301,125
19460401,197
19460501,198
19460601,281
19460701,320
19460801,310
19460901,258
19461001,133
19461101,85
19461201,79
19470101,19
19470201,81
19470301,119
19470401,131
19470501,223
19470601,210
19470701,299
19470801,271
19470901,240
19471001,172
19471101,38
19471201,34
19480101,36
19480201,42
19480301,56
19480401,145
19480501,211
19480601,249
19480701,306
19480801,299
19480901,254
19481001,173
19481101,59
19481201,13
19490101,-48
19490201,20
19490301,92
19490401,181
19490501,189
19490601,238
19490701,299
19490801,294
19490901,242
19491001,126
19491101,140
19491201,29
19500101,15
19500201,71
19500301,81
19500401,143
19500501,177
19500601,257
19500701,284
19500801,292
19500901,212
19501001,210
19501101,112
19501201,52
19510101,28
19510201,69
19510301,80
19510401,155
19510501,193
19510601,229
19510701,297
19510801,276
19510901,251
19511001,150
19511101,79
19511201,9
19520101,25
19520201,32
19520301,40
19520401,153
19520501,205
19520601,244
19520701,283
19520801,288
19520901,274
19521001,235
19521101,73
19521201,43
19530101,66
19530201,63
19530301,107
19530401,128
19530501,164
19530601,242
19530701,300
19530801,297
19530901,276
19531001,189
19531101,128
19531201,38
19540101,65
19540201,75
19540301,85
19540401,184
19540501,226
19540601,234
19540701,311
19540801,293
19540901,255
19541001,190
19541101,135
19541201,48
19550101,8
19550201,22
19550301,72
19550401,145
19550501,209
19550601,243
19550701,295
19550801,302
19550901,249
19551001,197
19551101,85
19551201,51
19560101,70
19560201,24
19560301,120
19560401,159
19560501,218
19560601,271
19560701,305
19560801,291
19560901,276
19561001,188
19561101,86
19561201,47
19570101,23
19570201,99
19570301,104
19570401,137
19570501,191
19570601,251
19570701,308
19570801,300
19570901,256
19571001,173
19571101,62
19571201,63
19580101,42
19580201,89
19580301,83
19580401,140
19580501,252
19580601,278
19580701,307
19580801,319
19580901,254
19581001,213
19581101,104
19581201,80
19590101,53
19590201,55
19590301,105
19590401,177
19590501,191
19590601,278
19590701,309
19590801,299
19590901,226
19591001,180
19591101,127
19591201,70
19600101,33
19600201,33
19600301,123
19600401,176
19600501,221
19600601,292
19600701,348
19600801,318
19600901,286
19601001,195
19601101,106
19601201,57
19610101,76
19610201,77
19610301,108
19610401,153
19610501,228
19610601,310
19610701,337
19610801,326
19610901,222
19611001,168
19611101,79
19611201,36
19620101,16
19620201,68
19620301,89
19620401,186
19620501,213
19620601,270
19620701,315
19620801,316
19620901,280
19621001,209
19621101,125
19621201,66
19630101,18
19630201,107
19630301,104
19630401,128
19630501,243
19630601,240
19630701,334
19630801,327
19630901,279
19631001,216
19631101,99
19631201,34
19640101,19
19640201,37
19640301,55
19640401,128
19640701,339
19640801,305
19640901,260
19641001,215
19641101,82
19641201,45
19650101,49
19650201,55
19650301,89
19650401,154
19650501,188
19650601,253
19650701,298
19650801,271
19650901,209
19651101,128
19651201,59
19660101,50
19660201,50
19660301,127
19660401,160
19660501,242
19660601,278
19660701,335
19660801,313
19660901,263
19661001,169
19661101,116
19661201,24
19670101,38
19670201,68
19670301,114
19670401,122
19670501,187
19670601,231
19670701,317
19670801,311
19670901,250
19671001,181
19671101,117
19671201,16
19680101,50
19680201,78
19680301,123
19680401,122
19680501,189
19680601,256
19680701,310
19680801,258
19680901,230
19681001,179
19681101,86
19681201,39
19690101,67
19690201,64
19690301,79
19690401,159
19690501,247
19690601,220
19690701,306
19690801,315
19690901,265
19691001,131
19691101,90
19691201,44
19700101,49
19700201,87
19700301,81
19700401,110
19700501,198
19700601,254
19700701,306
19700801,315
19700901,220
19701001,135
19701101,88
19701201,33
19710101,38
19710201,51
19710301,92
19710401,143
19710501,193
19710601,256
19710701,312
19710801,300
19710901,225
19711001,144
19711101,68
19711201,13
19720101,33
19720201,68
19720301,135
19720401,143
19720501,213
19720601,264
19720701,308
19720801,293
19720901,230
19721001,161
19721101,63
19721201,11
19730101,11
19730201,52
19730301,74
19730401,119
19730601,262
19730701,299
19730801,306
19730901,230
19731001,180
19731101,82
19731201,50
19740101,26
19740201,51
19740301,112
19740401,134
19740501,215
19740601,291
19740701,311
19740801,299
19740901,262
19741001,177
19741101,94
19741201,25
19750101,25
19750201,49
19750301,77
19750401,93
19750501,175
19750601,234
19750701,309
19750801,292
19750901,252
19751001,166
19751101,65
19751201,41
19760101,21
19760201,62
19760301,63
19760401,140
19760501,223
19760601,255
19760701,322
19760801,294
19760901,252
19761001,166
19761101,108
19761201,41
19770101,23
19770201,71
19770301,75
19770401,179
19770501,173
19770601,291
19770701,304
19770801,292
19770901,248
19771001,185
19771101,95
19771201,61
19780101,42
19780201,64
19780301,117
19780401,138
19780501,185
19780601,266
19780701,323
19780801,291
19780901,235
19781001,206
19781101,65
19781201,5
19790101,-11
19790201,47
19790301,87
19790401,146
19790601,275
19790701,315
19790801,294
19790901,280
19791001,194
19791101,54
19791201,60
19800101,33
19800201,69
19800301,76
19800401,159
19800501,179
19800601,265
19800701,314
19800801,294
19800901,249
19801001,171
19801101,96
19801201,63
19810101,28
19810201,78
19810301,95
19810401,168
19810501,187
19810601,271
19810701,313
19810801,315
19810901,260
19811001,148
19811101,112
19811201,61
19820101,21
19820201,49
19820301,86
19820401,132
19820501,191
19820601,251
19820701,292
19820801,308
19820901,223
19821001,137
19821101,72
19821201,27
19830101,54
19830201,68
19830301,89
19830401,104
19830501,173
19830601,242
19830701,301
19830801,297
19830901,249
19831001,179
19831101,81
19831201,14
19840101,-12
19840201,19
19840301,69
19840401,120
19840501,210
19840601,238
19840701,300
19840801,295
19840901,239
19841001,125
19841101,84
19841201,23
19850101,4
19850201,26
19850301,85
19850401,175
19850501,217
19850601,276
19850701,315
19850801,307
19850901,217
19851001,169
